,i1_legid,i1_hops,i1_dep_1_place,i1_rcf_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_dep_2_place,i1_rcf_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_dep_3_place,i1_rcf_3_place,i1_rcf_3_p,i1_rcf_3_e,origin,desti,order_date,planned_date,deliver_date,lead_time,value,cargo_price_unit,weight,risk_1,risk_2,risk_3,risk_all,distance,cargo_price
0,5878,1,DOH,PVG,905,547,?,?,0,0,?,?,0,0,DOH,PVG,2019-02-13 12:12:54,2019-02-14 03:17:54,2019-02-13 21:19:54,547,90059,0.52,2.49,2.0,0.0,0.0,2.0,4220.0,5464.06
1,9889,1,FRA,LHR,215,223,?,?,0,0,?,?,0,0,FRA,LHR,2019-03-08 20:15:11,2019-03-08 23:50:11,2019-03-08 23:58:11,223,3786,0.4,1.25,3.0,0.0,0.0,3.0,406.0,203.0
2,3997,1,FRA,ZRH,270,135,?,?,0,0,?,?,0,0,FRA,ZRH,2019-01-30 19:49:22,2019-01-31 00:19:22,2019-01-30 22:04:22,135,11143,0.62,0.36,3.5,0.0,0.0,3.5,177.0,39.51
3,10481,1,FRA,CDG,285,219,?,?,0,0,?,?,0,0,FRA,CDG,2019-02-14 20:13:14,2019-02-15 00:58:14,2019-02-14 23:52:14,219,8283,0.44,3.29,4.0,0.0,0.0,4.0,278.0,402.43
4,12343,1,FCO,LHR,395,152,?,?,0,0,?,?,0,0,FCO,LHR,2019-03-11 14:06:11,2019-03-11 20:41:11,2019-03-11 16:38:11,152,74548,0.74,3.46,2.5,0.0,0.0,2.5,897.0,2296.68
5,9931,1,FCO,FRA,415,186,?,?,0,0,?,?,0,0,FCO,FRA,2019-02-12 18:53:36,2019-02-13 01:48:36,2019-02-12 21:59:36,186,78169,0.5,4.69,3.5,0.0,0.0,3.5,595.0,1395.28
6,14132,1,DOH,AMS,1085,1093,?,?,0,0,?,?,0,0,DOH,AMS,2019-03-29 11:44:29,2019-03-30 05:49:29,2019-03-30 05:57:29,1093,29521,0.34,3.42,4.0,0.0,0.0,4.0,3057.0,3554.68
7,1388,1,FRA,PVG,1220,1027,?,?,0,0,?,?,0,0,FRA,PVG,2019-03-03 14:02:35,2019-03-04 10:22:35,2019-03-04 07:09:35,1027,75727,0.33,2.88,3.0,0.0,0.0,3.0,5501.0,5228.15
8,5838,1,ZRH,FRA,385,155,?,?,0,0,?,?,0,0,ZRH,FRA,2019-03-13 12:11:59,2019-03-13 18:36:59,2019-03-13 14:46:59,155,73056,0.41,4.83,3.5,0.0,0.0,3.5,177.0,350.51
9,4038,1,FRA,ZRH,270,143,?,?,0,0,?,?,0,0,FRA,ZRH,2019-03-01 11:30:08,2019-03-01 16:00:08,2019-03-01 13:53:08,143,16175,0.67,2.35,3.5,0.0,0.0,3.5,177.0,278.69
10,3091,1,AMS,DOH,930,1062,?,?,0,0,?,?,0,0,AMS,DOH,2019-01-09 10:24:01,2019-01-10 01:54:01,2019-01-10 04:06:01,1062,87916,0.53,2.23,4.0,0.0,0.0,4.0,3057.0,3613.07
11,13510,1,CDG,PVG,1250,897,?,?,0,0,?,?,0,0,CDG,PVG,2019-01-24 04:28:30,2019-01-25 01:18:30,2019-01-24 19:25:30,897,34362,0.78,4.78,3.0,0.0,0.0,3.0,5754.0,21453.21
12,4991,1,ORD,FRA,975,731,?,?,0,0,?,?,0,0,ORD,FRA,2019-01-22 21:24:37,2019-01-23 13:39:37,2019-01-23 09:35:37,731,85037,0.32,1.07,6.0,0.0,0.0,6.0,4328.0,1481.91
13,11674,1,AMS,DEL,1240,1048,?,?,0,0,?,?,0,0,AMS,DEL,2019-03-21 18:32:31,2019-03-22 15:12:31,2019-03-22 12:00:31,1048,35419,0.38,0.36,4.5,0.0,0.0,4.5,3951.0,540.5
14,394,1,FRA,TLV,845,726,?,?,0,0,?,?,0,0,FRA,TLV,2019-02-02 09:46:51,2019-02-02 23:51:51,2019-02-02 21:52:51,726,45066,0.34,2.73,3.5,0.0,0.0,3.5,1834.0,1702.32
15,13559,1,ORD,FRA,975,818,?,?,0,0,?,?,0,0,ORD,FRA,2019-01-28 06:20:36,2019-01-28 22:35:36,2019-01-28 19:58:36,818,52782,0.52,1.97,6.0,0.0,0.0,6.0,4328.0,4433.6
16,10315,1,FRA,CDG,295,201,?,?,0,0,?,?,0,0,FRA,CDG,2019-01-10 07:19:14,2019-01-10 12:14:14,2019-01-10 10:40:14,201,98371,0.79,4.05,4.0,0.0,0.0,4.0,278.0,889.46
17,3104,2,DXB,PVG,815,524,PVG,SIN,1840,1346,?,?,0,0,DXB,SIN,2019-01-05 04:52:39,2019-01-07 01:07:39,2019-01-06 12:02:39,1870,70130,0.63,2.8,2.0,2.5,0.0,4.5,3630.0,6403.32
18,3491,1,FRA,CDG,285,166,?,?,0,0,?,?,0,0,FRA,CDG,2019-01-30 04:57:47,2019-01-30 09:42:47,2019-01-30 07:43:47,166,39473,0.7,4.23,4.0,0.0,0.0,4.0,278.0,823.16
19,2172,1,PVG,SVO,1100,625,?,?,0,0,?,?,0,0,PVG,SVO,2019-01-10 22:22:20,2019-01-11 16:42:20,2019-01-11 08:47:20,625,12771,0.5,1.7,2.0,0.0,0.0,2.0,4254.0,3615.9
20,13641,1,HKG,IST,735,719,?,?,0,0,?,?,0,0,HKG,IST,2019-02-09 16:04:42,2019-02-10 04:19:42,2019-02-10 04:03:42,719,92739,0.71,2.42,2.5,0.0,0.0,2.5,4973.0,8544.61
21,11942,1,MAD,FRA,980,1610,?,?,0,0,?,?,0,0,MAD,FRA,2019-02-27 00:33:35,2019-02-27 16:53:35,2019-02-28 03:23:35,1610,96679,0.33,2.57,3.5,0.0,0.0,3.5,881.0,747.18
22,9153,2,DUB,LHR,125,172,LHR,HKG,675,592,?,?,0,0,DUB,HKG,2019-03-01 02:48:18,2019-03-01 16:08:18,2019-03-01 15:32:18,764,35181,0.47,1.05,2.0,2.0,0.0,4.0,6105.0,3012.82
23,2315,1,ORD,LHR,1120,871,?,?,0,0,?,?,0,0,ORD,LHR,2019-03-11 22:44:52,2019-03-12 17:24:52,2019-03-12 13:15:52,871,74721,0.71,0.31,5.0,0.0,0.0,5.0,3939.0,866.97
24,8251,1,SIN,MUC,1255,946,?,?,0,0,?,?,0,0,SIN,MUC,2019-02-20 05:05:11,2019-02-21 02:00:11,2019-02-20 20:51:11,946,84911,0.75,2.09,2.5,0.0,0.0,2.5,6246.0,9790.6
25,9962,1,FCO,FRA,415,204,?,?,0,0,?,?,0,0,FCO,FRA,2019-02-22 09:21:03,2019-02-22 16:16:03,2019-02-22 12:45:03,204,4625,0.33,3.37,3.5,0.0,0.0,3.5,595.0,661.7
26,561,1,LHR,DEL,1275,1031,?,?,0,0,?,?,0,0,LHR,DEL,2019-02-14 10:22:41,2019-02-15 07:37:41,2019-02-15 03:33:41,1031,83914,0.6,4.12,2.5,0.0,0.0,2.5,4180.0,10332.96
27,828,1,CDG,LHR,140,105,?,?,0,0,?,?,0,0,CDG,LHR,2019-03-27 09:29:55,2019-03-27 11:49:55,2019-03-27 11:14:55,105,5543,0.49,0.01,3.0,0.0,0.0,3.0,216.0,1.06
28,4562,2,DXB,PVG,795,654,PVG,SIN,1885,1625,?,?,0,0,DXB,SIN,2019-01-24 19:24:21,2019-01-26 16:04:21,2019-01-26 09:23:21,2279,20287,0.45,3.22,2.0,2.5,0.0,4.5,3630.0,5259.87
29,3231,2,DOH,LHR,1015,971,LHR,MUC,510,401,?,?,0,0,DOH,MUC,2019-02-27 18:28:09,2019-02-28 19:53:09,2019-02-28 17:20:09,1372,84975,0.38,2.67,2.0,2.0,0.0,4.0,2671.0,2710.0
30,5025,1,SVO,FRA,1050,1009,?,?,0,0,?,?,0,0,SVO,FRA,2019-02-01 13:57:44,2019-02-02 07:27:44,2019-02-02 06:46:44,1009,92697,0.43,3.8,3.0,0.0,0.0,3.0,1257.0,2053.94
31,4613,1,FRA,CDG,285,204,?,?,0,0,?,?,0,0,FRA,CDG,2019-02-13 00:39:46,2019-02-13 05:24:46,2019-02-13 04:03:46,204,59780,0.55,1.12,4.0,0.0,0.0,4.0,278.0,171.25
